FORMULA_ID,FORMULA_NO,FORMULA_VERS,FORMULA_DESC1,LINE_NO,INVENTORY_ITEM_ID,ORGANIZATION_ID,TYPE,DETAIL_UOM,QTY,STD_LOSS,STD_SG,STD_RATE,STD_RATE_WITH_LOSS,STD_VALUE_WOLOSS,WITH_LOSS_QTY,STD_VALUE_WIHLOSS,CREATION_DATE,LAST_UPDATE_DATE,CREATED,UPDATED_BY
108837,005600 -0000 -F29/ 101,20,BPPL ECON EMUL - WHITE,18,2366823,103,Ingredient,KGS,5,3,1.56,110.49,0,552.45,5.15,569.0235,25-Jun-2015 08:31:09 AM,25-Jun-2015 08:33:49 AM,IRFAN A KHAN,IRFAN A KHAN
108837,005600 -0000 -F29/ 101,20,BPPL ECON EMUL - WHITE,19,2240,103,Ingredient,KGS,3.65,3,1.56,0.01,0,0.0365,3.7595,0.037595,25-Jun-2015 08:31:09 AM,25-Jun-2015 08:33:49 AM,IRFAN A KHAN,IRFAN A KHAN
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,1,82119,103,Product,KGS,100,3,1.56,23.81,24.5243,2381,103,2452.43,08-Jul-2015 12:57:51 PM,08-Jul-2015 01:00:49 PM,IRFAN A KHAN,IRFAN A KHAN
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,1,2240,103,Ingredient,KGS,19,3,1.56,0.01,0,0.19,19.57,0.1957,08-Jul-2015 12:57:51 PM,27-Jul-2015 02:01:02 PM,IRFAN A KHAN,USMAN IBRAHIM
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,2,2245,103,Ingredient,KGS,0.1,3,1.56,68.68,0,6.868,0.103,7.07404,08-Jul-2015 12:57:51 PM,27-Jul-2015 02:01:02 PM,IRFAN A KHAN,USMAN IBRAHIM
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,3,6139495,103,Ingredient,KGS,0.5,3,1.56,126.69,0,63.345,0.515,65.24535,08-Jul-2015 12:57:51 PM,09-Nov-2020 08:46:03 AM,IRFAN A KHAN,FIZZA NAEEM
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,4,28,103,Ingredient,KGS,0.4,3,1.56,404.3,0,161.72,0.412,166.5716,08-Jul-2015 12:57:51 PM,28-Sept-2021 03:07:04 PM,IRFAN A KHAN,FIZZA NAEEM
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,5,154,103,Ingredient,KGS,0.3,3,1.56,121.23,0,36.369,0.309,37.46007,08-Jul-2015 12:57:51 PM,27-Jul-2015 02:01:02 PM,IRFAN A KHAN,USMAN IBRAHIM
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,6,30,103,Ingredient,KGS,0.05,3,1.56,191.9,0,9.595,0.0515,9.88285,08-Jul-2015 12:57:51 PM,27-Jul-2015 02:01:02 PM,IRFAN A KHAN,USMAN IBRAHIM
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,7,6156541,103,Ingredient,KGS,0.53,3,1.56,539.43,0,285.8979,0.5459,294.474837,27-Jul-2015 02:01:02 PM,08-Jun-2021 10:15:00 AM,USMAN IBRAHIM,FIZZA NAEEM
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,8,1052,103,Ingredient,KGS,21,3,1.56,15.98,0,335.58,21.63,345.6474,08-Jul-2015 12:57:51 PM,27-Jul-2015 02:01:02 PM,IRFAN A KHAN,USMAN IBRAHIM
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,9,1002,103,Ingredient,KGS,29.37,3,1.56,8.05,0,236.4285,30.2511,243.521355,08-Jul-2015 12:57:51 PM,27-Jul-2015 02:01:02 PM,IRFAN A KHAN,USMAN IBRAHIM
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,10,1001,103,Ingredient,KGS,10,3,1.56,21.21,0,212.1,10.3,218.463,08-Jul-2015 12:57:51 PM,27-Jul-2015 02:01:02 PM,IRFAN A KHAN,USMAN IBRAHIM
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,11,2240,103,Ingredient,KGS,6.5,3,1.56,0.01,0,0.065,6.695,0.06695,08-Jul-2015 12:57:51 PM,27-Jul-2015 02:01:02 PM,IRFAN A KHAN,USMAN IBRAHIM
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,12,6197559,103,Ingredient,KGS,0.55,3,1.56,1176.93,0,647.3115,0.5665,666.730845,08-Jul-2015 12:57:51 PM,05-Jun-2021 10:35:59 AM,IRFAN A KHAN,FIZZA NAEEM
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,13,283,103,Ingredient,KGS,0.25,3,1.56,186.85,0,46.7125,0.2575,48.113875,08-Jul-2015 12:57:51 PM,27-Jul-2015 02:01:02 PM,IRFAN A KHAN,USMAN IBRAHIM
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,14,6121501,103,Ingredient,KGS,2,3,1.56,138.81,0,277.62,2.06,285.9486,08-Jul-2015 12:57:51 PM,06-Jan-2022 12:31:03 PM,IRFAN A KHAN,AKHTAR ALI
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,15,1190,103,Ingredient,KGS,0.1,3,1.56,140.72,0,14.072,0.103,14.49416,08-Jul-2015 12:57:51 PM,27-Jul-2015 02:01:02 PM,IRFAN A KHAN,USMAN IBRAHIM
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,16,46242,103,Ingredient,KGS,0,3,1.56,348.24,0,0,0,0,08-Jul-2015 12:57:51 PM,07-Nov-2019 03:46:15 PM,IRFAN A KHAN,USMAN IBRAHIM
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,17,2240,103,Ingredient,KGS,0.5,3,1.56,0.01,0,0.005,0.515,0.00515,08-Jul-2015 12:57:51 PM,27-Jul-2015 02:01:02 PM,IRFAN A KHAN,USMAN IBRAHIM
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,18,4543850,103,Ingredient,KGS,5.56,3,1.56,100.46,0,558.5576,5.7268,575.314328,08-Jul-2015 01:00:49 PM,27-Jul-2015 02:01:02 PM,IRFAN A KHAN,USMAN IBRAHIM
109777,005600 -0000 -F29/ 125,21,BPPL ECON EMUL - WHITE on A4967,19,2240,103,Ingredient,KGS,3.09,3,1.56,0.01,0,0.0309,3.1827,0.031827,08-Jul-2015 12:57:51 PM,27-Jul-2015 02:01:02 PM,IRFAN A KHAN,USMAN IBRAHIM
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,1,2240,103,Ingredient,KGS,19,3,1.56,0.01,0,0.19,19.57,0.1957,22-Jul-2015 11:37:56 AM,22-Jul-2015 11:37:56 AM,USMAN IBRAHIM,USMAN IBRAHIM
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,1,82119,103,Product,KGS,100,3,1.56,23.81,24.5243,2381,103,2452.43,22-Jul-2015 11:37:56 AM,22-Jul-2015 11:37:56 AM,USMAN IBRAHIM,USMAN IBRAHIM
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,2,2245,103,Ingredient,KGS,0.1,3,1.56,68.68,0,6.868,0.103,7.07404,22-Jul-2015 11:37:56 AM,22-Jul-2015 11:37:56 AM,USMAN IBRAHIM,USMAN IBRAHIM
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,3,6139495,103,Ingredient,KGS,0.5,3,1.56,126.69,0,63.345,0.515,65.24535,22-Jul-2015 11:37:56 AM,09-Nov-2020 08:46:02 AM,USMAN IBRAHIM,FIZZA NAEEM
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,4,28,103,Ingredient,KGS,0.4,3,1.56,404.3,0,161.72,0.412,166.5716,22-Jul-2015 11:37:56 AM,28-Sept-2021 03:07:03 PM,USMAN IBRAHIM,FIZZA NAEEM
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,5,154,103,Ingredient,KGS,0.3,3,1.56,121.23,0,36.369,0.309,37.46007,22-Jul-2015 11:37:56 AM,22-Jul-2015 11:37:56 AM,USMAN IBRAHIM,USMAN IBRAHIM
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,6,30,103,Ingredient,KGS,0.05,3,1.56,191.9,0,9.595,0.0515,9.88285,22-Jul-2015 11:37:56 AM,22-Jul-2015 11:37:56 AM,USMAN IBRAHIM,USMAN IBRAHIM
